,Country,Job Title,Rural,Quantity,Percentage
5,Sweden,Database Marketing Analyst,Urban,61,63.22%
38,Germany,Database Marketing Analyst,Urban,61,63.22%
67,Great Britain,Data Warehousing Manager,Urban,61,63.22%
69,Greece,Database Specialist,Urban,61,63.22%
98,Great Britain,Data Warehousing Manager,Urban,61,63.22%
130,Germany,Database Specialist,Urban,61,63.22%
135,Hungary,Data Management Information Technology Specialist,Urban,61,63.22%
150,Denmark,Database Specialist,Urban,61,63.22%
154,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
169,Spain,Database Marketing Analyst,Urban,61,63.22%
175,Great Britain,Data Warehousing Manager,Urban,61,63.22%
260,Italy,Data Warehousing Manager,Urban,61,63.22%
330,France,Database Marketing Analyst,Urban,61,63.22%
374,Italy,Data Warehousing Manager,Rural,61,63.22%
380,Netherlands,Data Management Information Technology Specialist,Urban,61,63.22%
398,Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
505,Romania,Database Specialist,Urban,61,63.22%
534,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
541,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
643,France,Database Marketing Analyst,Urban,61,63.22%
720,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
757,Spain,Database Marketing Analyst,Urban,61,63.22%
762,Greece,Database Marketing Analyst,Urban,61,63.22%
770,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
852,Germany,Database Marketing Analyst,Urban,61,63.22%
890,Latvia,Data Warehousing Manager,Urban,61,63.22%
893,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
896,France,Database Marketing Analyst,Urban,61,63.22%
924,Spain,Data Management Information Technology Specialist,Urban,61,63.22%
964,Poland,Database Marketing Analyst,Urban,61,63.22%
981,Italy,Data Warehousing Manager,Urban,61,63.22%
1011,Germany,Database Specialist,Urban,61,63.22%
1074,France,Data Warehousing Manager,Rural,61,63.22%
1098,France,Data Management Information Technology Specialist,Urban,61,63.22%
1114,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1133,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1171,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
1178,Spain,Data Management Information Technology Specialist,Urban,61,63.22%
1224,Hungary,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1258,Spain,Data Warehousing Manager,Urban,61,63.22%
1292,France,Database Marketing Analyst,Urban,61,63.22%
1308,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1358,Hungary,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1361,Romania,Data Warehousing Manager,Urban,61,63.22%
1364,Ireland,Data Warehousing Manager,Urban,61,63.22%
1414,Hungary,Database Marketing Analyst,Urban,61,63.22%
1426,Czechia,Data Warehousing Manager,Urban,61,63.22%
1427,Italy,Data Warehousing Manager,Urban,61,63.22%
1430,Italy,Database Marketing Analyst,Urban,61,63.22%
1473,Great Britain,Data Management Information Technology Specialist,Urban,61,63.22%
1478,Romania,Database Specialist,Urban,61,63.22%
1500,Germany,Database Specialist,Urban,61,63.22%
1513,Romania,Database Specialist,Urban,61,63.22%
1674,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1699,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1749,Germany,Data Warehousing Manager,Urban,61,63.22%
1781,Portugal,Database Specialist,Urban,61,63.22%
1808,Poland,Database Specialist,Urban,61,63.22%
1820,Portugal,Database Specialist,Urban,61,63.22%
1823,Romania,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
1864,Great Britain,Database Marketing Analyst,Urban,61,63.22%
1878,Germany,Database Specialist,Urban,61,63.22%
1939,France,Database Marketing Analyst,Urban,61,63.22%
1963,Romania,Data Warehousing Manager,Urban,61,63.22%
2012,Belgium,Data Management Information Technology Specialist,Urban,61,63.22%
2076,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
2094,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
2112,Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
2139,Great Britain,Data Warehousing Manager,Urban,61,63.22%
2217,Italy,Data Warehousing Manager,Urban,61,63.22%
2222,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
2268,Poland,Database Marketing Analyst,Urban,61,63.22%
2277,Italy,Database Specialist,Urban,61,63.22%
2308,Netherlands,Data Warehousing Manager,Urban,61,63.22%
2309,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
2358,Great Britain,Database Marketing Analyst,Urban,61,63.22%
2389,France,Database Specialist,Urban,61,63.22%
2447,Italy,Database Marketing Analyst,Urban,61,63.22%
2481,Croatia,Database Specialist,Urban,61,63.22%
2579,Poland,Database Specialist,Urban,61,63.22%
2652,Sweden,Database Specialist,Urban,61,63.22%
2660,Portugal,Data Management Information Technology Specialist,Urban,61,63.22%
2733,France,Database Marketing Analyst,Urban,61,63.22%
2757,Poland,Database Marketing Analyst,Urban,61,63.22%
2770,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
2825,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
2860,Hungary,Data Warehousing Manager,Urban,61,63.22%
2958,Poland,Data Warehousing Manager,Urban,61,63.22%
3012,France,Data Warehousing Manager,Urban,61,63.22%
3019,Germany,Data Warehousing Manager,Urban,61,63.22%
3043,Germany,Database Marketing Analyst,Urban,61,63.22%
3112,Finland,Database Marketing Analyst,Urban,61,63.22%
3123,Great Britain,Data Management Information Technology Specialist,Urban,61,63.22%
3131,Great Britain,Database Specialist,Rural,61,63.22%
3154,Finland,Data Management Information Technology Specialist,Urban,61,63.22%
3187,Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Rural,61,63.22%
3219,France,Data Management Information Technology Specialist,Urban,61,63.22%
3388,France,Data Warehousing Manager,Urban,61,63.22%
3395,Poland,Data Management Information Technology Specialist,Urban,61,63.22%
3445,Poland,Data Warehousing Manager,Urban,61,63.22%
3459,Poland,Data Management Information Technology Specialist,Urban,61,63.22%
3477,Croatia,Data Management Information Technology Specialist,Urban,61,63.22%
3500,Italy,Data Warehousing Manager,Urban,61,63.22%
3516,Belgium,Data Management Information Technology Specialist,Rural,61,63.22%
3526,Germany,Data Warehousing Manager,Urban,61,63.22%
3550,Germany,Database Specialist,Urban,61,63.22%
3573,Sweden,Data Management Information Technology Specialist,Urban,61,63.22%
3578,Netherlands,Data Management Information Technology Specialist,Urban,61,63.22%
3636,Romania,Data Warehousing Manager,Urban,61,63.22%
3647,Poland,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
3665,Germany,Data Warehousing Manager,Urban,61,63.22%
3737,Greece,Database Specialist,Urban,61,63.22%
3799,Spain,Data Management Information Technology Specialist,Urban,61,63.22%
3832,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
3838,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
3889,Netherlands,Database Specialist,Urban,61,63.22%
3940,Greece,Data Management Information Technology Specialist,Urban,61,63.22%
3968,Germany,Database Specialist,Urban,61,63.22%
4015,Poland,Data Management Information Technology Specialist,Urban,61,63.22%
4029,Spain,Data Management Information Technology Specialist,Urban,61,63.22%
4037,Netherlands,Database Marketing Analyst,Urban,61,63.22%
4095,Slovakia,Database Specialist,Urban,61,63.22%
4160,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4164,Germany,Database Specialist,Urban,61,63.22%
4165,Netherlands,Database Specialist,Urban,61,63.22%
4263,Netherlands,Database Marketing Analyst,Urban,61,63.22%
4374,Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4384,Italy,Data Warehousing Manager,Urban,61,63.22%
4487,Netherlands,Database Marketing Analyst,Urban,61,63.22%
4574,Denmark,Database Specialist,Urban,61,63.22%
4587,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4631,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4652,Germany,Database Specialist,Urban,61,63.22%
4706,France,Database Marketing Analyst,Urban,61,63.22%
4710,Germany,Database Marketing Analyst,Rural,61,63.22%
4724,Italy,Data Warehousing Manager,Urban,61,63.22%
4734,Czechia,Database Marketing Analyst,Urban,61,63.22%
4747,France,Database Specialist,Urban,61,63.22%
4769,France,Data Warehousing Manager,Urban,61,63.22%
4795,France,Database Marketing Analyst,Urban,61,63.22%
4826,Croatia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4831,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4858,Poland,Data Warehousing Manager,Urban,61,63.22%
4883,Poland,Data Management Information Technology Specialist,Urban,61,63.22%
4957,Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
4984,Netherlands,Database Marketing Analyst,Urban,61,63.22%
5013,Italy,Data Warehousing Manager,Urban,61,63.22%
5024,Germany,Data Warehousing Manager,Urban,61,63.22%
5055,Finland,Database Marketing Analyst,Urban,61,63.22%
5065,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
5087,Great Britain,Data Management Information Technology Specialist,Urban,61,63.22%
5091,France,Database Marketing Analyst,Urban,61,63.22%
5095,Germany,Database Specialist,Urban,61,63.22%
5117,Hungary,Data Management Information Technology Specialist,Urban,61,63.22%
5178,France,Database Specialist,Rural,61,63.22%
5230,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
5232,Romania,Database Specialist,Urban,61,63.22%
5235,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
5273,Italy,Data Warehousing Manager,Urban,61,63.22%
5396,Italy,Database Marketing Analyst,Urban,61,63.22%
5398,Hungary,Database Marketing Analyst,Urban,61,63.22%
5424,Czechia,Data Warehousing Manager,Urban,61,63.22%
5465,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
5497,Poland,Data Warehousing Manager,Urban,61,63.22%
5500,Poland,Database Specialist,Urban,61,63.22%
5534,Sweden,Database Specialist,Urban,61,63.22%
5550,Slovenia,Data Warehousing Manager,Rural,61,63.22%
5589,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
5617,Great Britain,Database Marketing Analyst,Urban,61,63.22%
5663,Italy,Database Specialist,Urban,61,63.22%
5693,Great Britain,Database Marketing Analyst,Urban,61,63.22%
5760,Spain,Database Marketing Analyst,Urban,61,63.22%
5823,Sweden,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
5886,Poland,Data Warehousing Manager,Urban,61,63.22%
5903,Portugal,Data Warehousing Manager,Urban,61,63.22%
5916,France,Data Warehousing Manager,Urban,61,63.22%
5964,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
5971,Poland,Database Specialist,Urban,61,63.22%
6018,Germany,Database Specialist,Urban,61,63.22%
6045,Czechia,Data Management Information Technology Specialist,Urban,61,63.22%
6072,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6089,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
6183,Germany,Data Warehousing Manager,Urban,61,63.22%
6204,Finland,Data Warehousing Manager,Rural,61,63.22%
6231,Estonia,Data Management Information Technology Specialist,Urban,61,63.22%
6244,Germany,Database Marketing Analyst,Urban,61,63.22%
6248,Great Britain,Database Marketing Analyst,Urban,61,63.22%
6271,Great Britain,Database Specialist,Urban,61,63.22%
6290,Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6297,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
6324,Spain,Data Warehousing Manager,Urban,61,63.22%
6327,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
6373,Austria,Database Marketing Analyst,Urban,61,63.22%
6388,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
6389,France,Database Marketing Analyst,Urban,61,63.22%
6406,Denmark,Data Management Information Technology Specialist,Urban,61,63.22%
6416,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6485,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Rural,61,63.22%
6514,Germany,Data Warehousing Manager,Rural,61,63.22%
6524,Belgium,Data Warehousing Manager,Urban,61,63.22%
6591,Greece,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6609,Great Britain,Database Specialist,Urban,61,63.22%
6622,Great Britain,Database Specialist,Urban,61,63.22%
6634,Spain,Database Specialist,Urban,61,63.22%
6645,Greece,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6649,Slovenia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6676,Austria,Data Management Information Technology Specialist,Urban,61,63.22%
6719,France,Data Management Information Technology Specialist,Urban,61,63.22%
6720,Greece,Data Management Information Technology Specialist,Urban,61,63.22%
6728,Romania,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6729,Slovakia,Data Management Information Technology Specialist,Urban,61,63.22%
6730,Belgium,Data Warehousing Manager,Urban,61,63.22%
6741,Romania,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6803,France,Database Marketing Analyst,Urban,61,63.22%
6804,Spain,Data Management Information Technology Specialist,Urban,61,63.22%
6899,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6911,Spain,Database Marketing Analyst,Urban,61,63.22%
6936,Czechia,Database Specialist,Urban,61,63.22%
6985,Poland,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
6988,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
7063,Spain,Data Warehousing Manager,Urban,61,63.22%
7146,Finland,Database Marketing Analyst,Urban,61,63.22%
7264,Germany,Data Warehousing Manager,Urban,61,63.22%
7289,France,Data Management Information Technology Specialist,Urban,61,63.22%
7311,Portugal,Database Marketing Analyst,Urban,61,63.22%
7323,Czechia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
7352,Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
7357,Slovenia,Data Management Information Technology Specialist,Urban,61,63.22%
7364,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
7374,Spain,Data Warehousing Manager,Urban,61,63.22%
7403,Italy,Data Warehousing Manager,Urban,61,63.22%
7423,Germany,Database Marketing Analyst,Urban,61,63.22%
7425,Finland,Database Specialist,Urban,61,63.22%
7428,Portugal,Database Specialist,Urban,61,63.22%
7429,France,Database Specialist,Urban,61,63.22%
7452,Italy,Database Marketing Analyst,Urban,61,63.22%
7479,Spain,Database Marketing Analyst,Rural,61,63.22%
7503,Belgium,Database Marketing Analyst,Urban,61,63.22%
7509,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
7529,Denmark,Database Specialist,Urban,61,63.22%
7642,France,Database Marketing Analyst,Rural,61,63.22%
7648,Poland,Database Marketing Analyst,Urban,61,63.22%
7702,Sweden,Database Marketing Analyst,Urban,61,63.22%
7753,Italy,Data Management Information Technology Specialist,Urban,61,63.22%
7756,Romania,Database Specialist,Urban,61,63.22%
7759,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
7793,Bulgaria,Data Management Information Technology Specialist,Urban,61,63.22%
7811,France,Database Specialist,Urban,61,63.22%
7861,Italy,Database Marketing Analyst,Urban,61,63.22%
7887,Germany,Database Marketing Analyst,Urban,61,63.22%
7928,Poland,Database Specialist,Urban,61,63.22%
7929,Spain,Database Specialist,Urban,61,63.22%
7950,Austria,Data Warehousing Manager,Urban,61,63.22%
7967,Netherlands,Data Warehousing Manager,Urban,61,63.22%
7972,Great Britain,Database Specialist,Urban,61,63.22%
7993,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8053,Spain,Database Marketing Analyst,Urban,61,63.22%
8065,France,Data Warehousing Manager,Urban,61,63.22%
8088,France,Database Specialist,Urban,61,63.22%
8101,Slovakia,Data Warehousing Manager,Rural,61,63.22%
8116,Portugal,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8128,Belgium,Database Marketing Analyst,Urban,61,63.22%
8129,Germany,Data Management Information Technology Specialist,Rural,61,63.22%
8178,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8217,Romania,Data Management Information Technology Specialist,Urban,61,63.22%
8236,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
8259,France,Data Warehousing Manager,Urban,61,63.22%
8278,Italy,Data Warehousing Manager,Urban,61,63.22%
8301,Spain,Data Warehousing Manager,Urban,61,63.22%
8311,France,Database Specialist,Urban,61,63.22%
8431,Greece,Data Management Information Technology Specialist,Urban,61,63.22%
8451,Netherlands,Database Marketing Analyst,Rural,61,63.22%
8473,Spain,Database Specialist,Rural,61,63.22%
8563,Poland,Database Marketing Analyst,Urban,61,63.22%
8610,Italy,Database Marketing Analyst,Urban,61,63.22%
8620,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8666,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8667,Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8680,Lithuania,Database Specialist,Urban,61,63.22%
8793,Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
8801,Poland,Data Management Information Technology Specialist,Urban,61,63.22%
8822,Romania,Data Management Information Technology Specialist,Urban,61,63.22%
8996,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9005,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9011,Spain,Database Specialist,Urban,61,63.22%
9075,Spain,Database Specialist,Urban,61,63.22%
9080,Italy,Database Specialist,Urban,61,63.22%
9098,Poland,Data Management Information Technology Specialist,Urban,61,63.22%
9115,France,Database Specialist,Urban,61,63.22%
9118,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9119,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9154,Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9182,Germany,Database Specialist,Urban,61,63.22%
9214,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9229,France,Data Warehousing Manager,Urban,61,63.22%
9349,Germany,Database Marketing Analyst,Urban,61,63.22%
9360,Great Britain,Database Specialist,Urban,61,63.22%
9466,Italy,Data Warehousing Manager,Urban,61,63.22%
9499,Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Rural,61,63.22%
9505,Poland,Data Management Information Technology Specialist,Rural,61,63.22%
9514,Great Britain,Database Specialist,Urban,61,63.22%
9519,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,63.22%
9520,Italy,Database Marketing Analyst,Urban,61,63.22%
9566,Germany,Data Management Information Technology Specialist,Urban,61,63.22%
9648,France,Data Warehousing Manager,Urban,61,63.22%
13,Finland,Data Warehouse Developer,Urban,62,64.26%
235,Great Britain,Data Warehouse Developer,Urban,62,64.26%
334,Greece,Database Security Expert,Urban,62,64.26%
367,Great Britain,Data Warehouse Developer,Urban,62,64.26%
400,Great Britain,Database Security Expert,Urban,62,64.26%
566,Germany,Database Security Expert,Urban,62,64.26%
570,Germany,Data Warehouse Developer,Rural,62,64.26%
671,Austria,Database Security Expert,Urban,62,64.26%
748,Netherlands,Database Security Expert,Urban,62,64.26%
857,Czechia,Data Warehouse Developer,Urban,62,64.26%
869,France,Database Security Expert,Urban,62,64.26%
884,Spain,Database Security Expert,Urban,62,64.26%
906,Poland,Database Security Expert,Urban,62,64.26%
997,Germany,Data Warehouse Developer,Rural,62,64.26%
1200,Italy,Data Warehouse Developer,Urban,62,64.26%
1469,Bulgaria,Database Security Expert,Urban,62,64.26%
1619,Great Britain,Data Warehouse Developer,Urban,62,64.26%
1821,Germany,Data Warehouse Developer,Urban,62,64.26%
2180,Belgium,Data Warehouse Developer,Urban,62,64.26%
2342,Germany,Data Warehouse Developer,Rural,62,64.26%
2438,Spain,Database Security Expert,Urban,62,64.26%
2440,Romania,Data Warehouse Developer,Urban,62,64.26%
2578,Germany,Data Warehouse Developer,Urban,62,64.26%
2592,Poland,Database Security Expert,Urban,62,64.26%
2646,Poland,Database Security Expert,Urban,62,64.26%
2657,Great Britain,Database Security Expert,Urban,62,64.26%
2843,Poland,Database Security Expert,Urban,62,64.26%
2846,Italy,Data Warehouse Developer,Urban,62,64.26%
2880,Great Britain,Database Security Expert,Urban,62,64.26%
2896,Germany,Database Security Expert,Urban,62,64.26%
2915,Germany,Database Security Expert,Urban,62,64.26%
2926,Italy,Data Warehouse Developer,Urban,62,64.26%
2944,Italy,Database Security Expert,Urban,62,64.26%
2960,Spain,Database Security Expert,Urban,62,64.26%
2993,Poland,Data Warehouse Developer,Urban,62,64.26%
3141,Great Britain,Database Security Expert,Urban,62,64.26%
3315,Romania,Database Security Expert,Urban,62,64.26%
3584,France,Database Security Expert,Urban,62,64.26%
3680,Italy,Database Security Expert,Urban,62,64.26%
3873,Germany,Data Warehouse Developer,Urban,62,64.26%
3895,Bulgaria,Data Warehouse Developer,Urban,62,64.26%
3944,Great Britain,Data Warehouse Developer,Urban,62,64.26%
3962,Croatia,Data Warehouse Developer,Urban,62,64.26%
3967,France,Database Security Expert,Urban,62,64.26%
4073,Germany,Data Warehouse Developer,Urban,62,64.26%
4127,Denmark,Data Warehouse Developer,Urban,62,64.26%
4204,Great Britain,Database Security Expert,Urban,62,64.26%
4286,France,Data Warehouse Developer,Urban,62,64.26%
4309,Poland,Data Warehouse Developer,Urban,62,64.26%
4327,Spain,Data Warehouse Developer,Urban,62,64.26%
4346,Poland,Database Security Expert,Urban,62,64.26%
4391,Italy,Database Security Expert,Urban,62,64.26%
4486,Poland,Database Security Expert,Urban,62,64.26%
4491,Czechia,Database Security Expert,Urban,62,64.26%
4506,Germany,Database Security Expert,Urban,62,64.26%
4515,Germany,Database Security Expert,Urban,62,64.26%
4601,France,Database Security Expert,Urban,62,64.26%
4671,Slovakia,Data Warehouse Developer,Urban,62,64.26%
4737,Italy,Data Warehouse Developer,Urban,62,64.26%
4772,Germany,Data Warehouse Developer,Urban,62,64.26%
4973,Germany,Database Security Expert,Urban,62,64.26%
4981,Italy,Data Warehouse Developer,Urban,62,64.26%
5084,Germany,Data Warehouse Developer,Urban,62,64.26%
5207,Spain,Database Security Expert,Urban,62,64.26%
5250,Great Britain,Data Warehouse Developer,Urban,62,64.26%
5253,Sweden,Data Warehouse Developer,Urban,62,64.26%
5292,Hungary,Data Warehouse Developer,Urban,62,64.26%
5343,Greece,Database Security Expert,Urban,62,64.26%
5368,Germany,Data Warehouse Developer,Urban,62,64.26%
5435,Germany,Data Warehouse Developer,Urban,62,64.26%
5455,Czechia,Database Security Expert,Urban,62,64.26%
5458,Italy,Data Warehouse Developer,Urban,62,64.26%
5615,Poland,Data Warehouse Developer,Urban,62,64.26%
5704,Denmark,Database Security Expert,Urban,62,64.26%
5815,Great Britain,Database Security Expert,Urban,62,64.26%
5816,Greece,Data Warehouse Developer,Urban,62,64.26%
5888,Spain,Database Security Expert,Urban,62,64.26%
5890,Poland,Data Warehouse Developer,Urban,62,64.26%
5979,Poland,Database Security Expert,Urban,62,64.26%
6006,France,Database Security Expert,Urban,62,64.26%
6061,Great Britain,Database Security Expert,Urban,62,64.26%
6124,Croatia,Database Security Expert,Urban,62,64.26%
6196,Italy,Data Warehouse Developer,Rural,62,64.26%
6236,Poland,Data Warehouse Developer,Urban,62,64.26%
6308,Germany,Data Warehouse Developer,Urban,62,64.26%
6325,France,Data Warehouse Developer,Urban,62,64.26%
6349,Italy,Database Security Expert,Urban,62,64.26%
6394,Greece,Data Warehouse Developer,Urban,62,64.26%
6400,Germany,Database Security Expert,Urban,62,64.26%
6640,Poland,Data Warehouse Developer,Urban,62,64.26%
6659,Italy,Database Security Expert,Urban,62,64.26%
6794,Poland,Data Warehouse Developer,Urban,62,64.26%
6987,Denmark,Database Security Expert,Urban,62,64.26%
7057,Poland,Data Warehouse Developer,Urban,62,64.26%
7154,Germany,Data Warehouse Developer,Urban,62,64.26%
7175,Spain,Database Security Expert,Urban,62,64.26%
7369,Great Britain,Database Security Expert,Urban,62,64.26%
7476,France,Database Security Expert,Urban,62,64.26%
7505,Austria,Data Warehouse Developer,Rural,62,64.26%
7587,Spain,Database Security Expert,Urban,62,64.26%
7626,Poland,Data Warehouse Developer,Urban,62,64.26%
7758,France,Data Warehouse Developer,Urban,62,64.26%
7788,Bulgaria,Data Warehouse Developer,Urban,62,64.26%
7827,Netherlands,Database Security Expert,Urban,62,64.26%
7969,Great Britain,Database Security Expert,Urban,62,64.26%
8043,Poland,Data Warehouse Developer,Urban,62,64.26%
8147,Poland,Data Warehouse Developer,Urban,62,64.26%
8268,Poland,Database Security Expert,Urban,62,64.26%
8393,Germany,Data Warehouse Developer,Urban,62,64.26%
8412,Great Britain,Database Security Expert,Urban,62,64.26%
8551,Romania,Data Warehouse Developer,Urban,62,64.26%
8573,Italy,Database Security Expert,Urban,62,64.26%
8637,Great Britain,Data Warehouse Developer,Urban,62,64.26%
8756,France,Database Security Expert,Urban,62,64.26%
8819,Italy,Database Security Expert,Urban,62,64.26%
8843,France,Data Warehouse Developer,Urban,62,64.26%
9086,Poland,Database Security Expert,Urban,62,64.26%
9127,Germany,Data Warehouse Developer,Urban,62,64.26%
9162,France,Data Warehouse Developer,Urban,62,64.26%
9255,Spain,Database Security Expert,Rural,62,64.26%
9278,Italy,Database Security Expert,Urban,62,64.26%
9397,Spain,Data Warehouse Developer,Urban,62,64.26%
9596,Great Britain,Data Warehouse Developer,Urban,62,64.26%
9600,Italy,Database Security Expert,Urban,62,64.26%
163,France,Database Modeler,Urban,64,66.33%
215,France,Database Modeler,Urban,64,66.33%
292,Great Britain,Database Modeler,Urban,64,66.33%
302,Great Britain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,66.33%
361,France,Database Designer,Urban,64,66.33%
397,France,Database Modeler,Urban,64,66.33%
498,Czechia,Database Designer,Urban,64,66.33%
499,Great Britain,Database Modeler,Urban,64,66.33%
523,Greece,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,66.33%
603,Hungary,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,66.33%
620,Italy,Database Designer,Urban,64,66.33%
635,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,66.33%
670,Belgium,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,66.33%
754,France,Database Modeler,Urban,64,66.33%
806,Great Britain,Database Modeler,Urban,64,66.33%
807,Poland,Database Modeler,Urban,64,66.33%
834,Germany,Database Modeler,Urban,64,66.33%
912,France,Database Modeler,Urban,64,66.33%
1017,France,Database Modeler,Rural,64,66.33%
1061,Croatia,Database Modeler,Urban,64,66.33%
1095,Germany,Database Designer,Urban,64,66.33%
1104,Netherlands,Database Modeler,Urban,64,66.33%
1110,Great Britain,Database Designer,Urban,64,66.33%
1145,Greece,Database Modeler,Urban,64,66.33%
