,Country,Job Title,Rural,Quantity,Percentage
6837,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
6857,France,Data Management Associate,Urban,72,0.75%
6882,France,Data Communications Technician,Urban,11,0.11%
6888,France,Database Engineer,Urban,77,0.80%
6893,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
6899,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
6909,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
6930,France,Data Technician,Urban,9,0.09%
6957,France,Database Developer,Urban,13,0.13%
6993,France,Databases Software Consultant,Urban,44,0.46%
7012,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
7034,France,Internet Database Specialist,Urban,72,0.75%
7039,France,Data Base Design Analyst,Urban,58,0.60%
7041,France,Database Architect,Rural,72,0.75%
7042,France,Automatic Data Processing Planner,Urban,78,0.81%
7046,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,88,0.91%
7054,France,Data Warehousing Specialist,Urban,59,0.61%
7064,France,Data Coordinator,Urban,88,0.91%
7069,France,Database Coordinator,Urban,81,0.84%
7073,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
7095,France,Data Security Administrator,Urban,67,0.69%
7127,France,Clinical Data Associate,Urban,17,0.18%
7131,France,Database Software Technician,Urban,76,0.79%
7149,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
7182,France,Data Storage Specialist,Urban,83,0.86%
7185,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
7199,France,Data Manager,Urban,14,0.15%
7202,France,Database Tester,Urban,77,0.80%
7227,France,Data Entry Specialist,Urban,10,0.10%
7232,France,Clinical Data Management Associate Director,Urban,12,0.12%
7270,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
7289,France,Data Management Information Technology Specialist,Urban,61,0.63%
7293,France,Director of Data Operations,Urban,78,0.81%
7301,France,Data Modeling Specialist,Urban,81,0.84%
7322,France,Data Coordinator,Urban,88,0.91%
7324,France,Data Specialist,Urban,10,0.10%
7331,France,Data Architect,Urban,88,0.91%
7349,France,Data Communications Software Consultant,Urban,73,0.76%
7354,France,Data Officer,Urban,101,1.05%
7373,France,Director of Data Operations,Urban,78,0.81%
7375,France,Databases Software Consultant,Urban,44,0.46%
7385,France,Database Software Technician,Urban,76,0.79%
7386,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
7391,France,Data Warehouse Architect,Urban,77,0.80%
7392,France,Database Consultant,Urban,84,0.87%
7401,France,Automatic Data Processing Planner,Urban,78,0.81%
7429,France,Database Specialist,Urban,61,0.63%
7445,France,Data Entry Machine Operator,Urban,11,0.11%
7469,France,Scientific Database Curator,Urban,8,0.08%
7476,France,Database Security Expert,Urban,62,0.64%
7477,France,Data Storage Specialist,Urban,83,0.86%
7486,France,Data Miner,Urban,72,0.75%
7497,France,Automatic Data Processing Planner,Rural,78,0.81%
7511,France,Data Communications Analyst,Urban,69,0.72%
7515,France,Database Design Analyst,Urban,58,0.60%
7526,France,Data Processing Systems Analyst,Urban,76,0.79%
7551,France,Data Processing Consultant,Urban,53,0.55%
7561,France,Database Architect,Urban,72,0.75%
7562,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
7564,France,Data Officer,Urban,101,1.05%
7572,France,Database Development and Administration Project Manager,Urban,75,0.78%
7593,France,Database Engineer,Urban,77,0.80%
7613,France,Data Processing Systems Analyst,Urban,76,0.79%
7630,France,Automatic Data Processing Planner,Urban,78,0.81%
7641,France,Computer or Data Processing Systems Consultant,Rural,88,0.91%
7642,France,Database Marketing Analyst,Rural,61,0.63%
7646,France,Data Security Administrator,Urban,67,0.69%
7650,France,Data Processing Consultant,Urban,53,0.55%
7655,France,Database Software Technician,Urban,76,0.79%
7665,France,Data Processing Auditor,Urban,67,0.69%
7672,France,Data Processing Manager,Urban,73,0.76%
7680,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
7685,France,Data Operations Director,Urban,38,0.39%
7687,France,Database Modeler,Urban,64,0.66%
7705,France,Data Processing Systems Project Planner,Urban,65,0.67%
7707,France,Data Officer,Rural,101,1.05%
7717,France,Data Communications Software Consultant,Urban,73,0.76%
7721,France,Data Miner,Urban,72,0.75%
7727,France,Database Consultant,Urban,84,0.87%
7758,France,Data Warehouse Developer,Urban,62,0.64%
7769,France,Databases Software Consultant,Urban,44,0.46%
7774,France,Data Architect,Urban,88,0.91%
7775,France,Data Coordinator,Rural,88,0.91%
7811,France,Database Specialist,Urban,61,0.63%
7829,France,Database Coordinator,Urban,81,0.84%
7852,France,Database Software Technician,Rural,76,0.79%
7884,France,Data Miner,Urban,72,0.75%
7885,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
7902,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
7905,France,Data Communications Technician,Rural,11,0.11%
7924,France,Database Engineer,Urban,77,0.80%
7939,France,Data Miner,Urban,72,0.75%
7962,France,Database Software Technician,Urban,76,0.79%
7983,France,Database Software Technician,Urban,76,0.79%
7984,France,Database Consultant,Urban,84,0.87%
8008,France,Database Consultant,Urban,84,0.87%
8047,France,Data Communications Software Consultant,Urban,73,0.76%
8058,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
8065,France,Data Warehousing Manager,Urban,61,0.63%
8088,France,Database Specialist,Urban,61,0.63%
8091,France,Data Operations Director,Urban,38,0.39%
8117,France,Database Design Analyst,Urban,58,0.60%
8118,France,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
8127,France,Scientific Database Curator,Urban,8,0.08%
8173,France,Data Warehousing Specialist,Rural,59,0.61%
8176,France,Director of Data Operations,Urban,78,0.81%
8181,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
8201,France,Database Modeler,Urban,64,0.66%
8215,France,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
8221,France,Data Communications Analyst,Urban,69,0.72%
8259,France,Data Warehousing Manager,Urban,61,0.63%
8294,France,Data Security Administrator,Urban,67,0.69%
8311,France,Database Specialist,Urban,61,0.63%
8335,France,Database Manager,Urban,78,0.81%
8339,France,Databases Computer Consultant,Rural,52,0.54%
8344,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
8366,France,Data Collector,Urban,9,0.09%
8368,France,Database Modeler,Urban,64,0.66%
8372,France,Data Processing Systems Analyst,Urban,76,0.79%
8382,France,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,0.11%
8389,France,Director of Data Operations,Urban,78,0.81%
8390,France,Data Warehouse Specialist,Urban,81,0.84%
8408,France,Data Warehousing Specialist,Urban,59,0.61%
8459,France,Database Engineer,Urban,77,0.80%
8489,France,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
8499,France,Data Modeling Specialist,Urban,81,0.84%
8514,France,Data Coordinator,Urban,88,0.91%
8554,France,Database Coordinator,Urban,81,0.84%
8556,France,Data Officer,Urban,101,1.05%
8558,France,Data Control Assistant,Urban,8,0.08%
8572,France,Log Data Technician,Rural,12,0.12%
8580,France,Data Entry Representative,Urban,17,0.18%
8581,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
8586,France,SCADA Technician (Supervisory Control and Data Acquisition Technician),Urban,13,0.13%
8602,France,Data Officer,Urban,101,1.05%
8626,France,Head of Information Systems and Data Processing,Urban,71,0.74%
8647,France,Database Administration Associate,Urban,73,0.76%
8654,France,Flight Test Data Acquisition Technician,Urban,13,0.13%
8655,France,Data Warehouse Architect,Urban,77,0.80%
8684,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
8690,France,Database Administration Manager,Urban,65,0.67%
8691,France,Database Development and Administration Project Manager,Urban,75,0.78%
8724,France,Data Officer,Urban,101,1.05%
8756,France,Database Security Expert,Urban,62,0.64%
8761,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
8776,France,Database Security Administrator,Urban,71,0.74%
8778,France,Database Design Analyst,Urban,58,0.60%
8803,France,Data Processing Systems Project Planner,Urban,65,0.67%
8806,France,Data Security Analyst,Urban,77,0.80%
8820,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
8824,France,Data Modeler,Urban,10,0.10%
8828,France,Data Entry Clerk,Urban,10,0.10%
8843,France,Data Warehouse Developer,Urban,62,0.64%
8851,France,Data Systems Manager,Urban,69,0.72%
8858,France,Database Programmer,Urban,14,0.15%
8866,France,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
8886,France,Data Warehouse Architect,Urban,77,0.80%
8887,France,Database Coordinator,Urban,81,0.84%
8923,France,Data Warehouse Architect,Urban,77,0.80%
8956,France,Data Coordinator,Urban,88,0.91%
8983,France,Data Processing Consultant,Urban,53,0.55%
8996,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
9042,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
9052,France,Data Warehouse Specialist,Urban,81,0.84%
9064,France,Director of Data Operations,Urban,78,0.81%
9078,France,Data Entry Representative,Urban,17,0.18%
9083,France,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
9107,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
9115,France,Database Specialist,Urban,61,0.63%
9142,France,Database Tester,Urban,77,0.80%
9147,France,Electronic Data Interchange System Developer (EDI System Developer),Rural,60,0.62%
9162,France,Data Warehouse Developer,Urban,62,0.64%
9164,France,Director of Data Operations,Urban,78,0.81%
9169,France,Clinical Data Analyst,Urban,9,0.09%
9175,France,Database Manager,Urban,78,0.81%
9199,France,Database Design Analyst,Urban,58,0.60%
9216,France,Data Warehousing Engineer,Urban,59,0.61%
9217,France,Database Architect,Urban,72,0.75%
9229,France,Data Warehousing Manager,Urban,61,0.63%
9245,France,Database Administration Associate,Urban,73,0.76%
9265,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Rural,87,0.90%
9298,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
9303,France,Data Processing Systems Analyst,Urban,76,0.79%
9317,France,Data Miner,Rural,72,0.75%
9333,France,Survey Data Technician,Urban,11,0.11%
9367,France,Data Warehouse Analyst,Urban,69,0.72%
9403,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
9407,France,Data Administrator,Urban,86,0.89%
9438,France,Data Architect,Urban,88,0.91%
9445,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
9448,France,Data Officer,Urban,101,1.05%
9477,France,Internet Database Specialist,Urban,72,0.75%
9484,France,Data Communications Analyst,Urban,69,0.72%
9488,France,Database Architect,Urban,72,0.75%
9491,France,Data Warehousing Specialist,Urban,59,0.61%
9496,France,Clinical Data Coordinator,Urban,10,0.10%
9500,France,Field Traffic Data Technician,Urban,16,0.17%
9509,France,Head of Information Systems and Data Processing,Urban,71,0.74%
9523,France,Database Tester,Urban,77,0.80%
9525,France,Data Operations Director,Urban,38,0.39%
9532,France,Database Coordinator,Urban,81,0.84%
9533,France,Database Security Administrator,Urban,71,0.74%
9537,France,Director of Data Operations,Urban,78,0.81%
9539,France,Head of Information Systems and Data Processing,Urban,71,0.74%
9609,France,Databases Computer Consultant,Urban,52,0.54%
9612,France,Database Modeler,Urban,64,0.66%
9614,France,Database Engineer,Rural,77,0.80%
9616,France,Data Typist,Urban,14,0.15%
9632,France,Database Manager,Urban,78,0.81%
9644,France,Data Processing Manager,Urban,73,0.76%
9648,France,Data Warehousing Manager,Urban,61,0.63%
