,Country,Job Title,Rural,Quantity,Percentage
7566,Spain,Marketing Database Analyst,Urban,15,0.16%
7580,Spain,Data Architect,Urban,88,0.91%
7587,Spain,Database Security Expert,Urban,62,0.64%
7611,Spain,Database Security Administrator,Urban,71,0.74%
7638,Spain,Data Scientist,Urban,67,0.69%
7662,Spain,Data Warehousing Engineer,Urban,59,0.61%
7676,Spain,Reference Data Expert,Urban,9,0.09%
7689,Spain,Database Engineer,Urban,77,0.80%
7718,Spain,Data Modeling Specialist,Urban,81,0.84%
7726,Spain,Data Scientist,Urban,67,0.69%
7729,Spain,Databases Software Consultant,Urban,44,0.46%
7741,Spain,Database Administration Manager,Rural,65,0.67%
7746,Spain,Data Processing Supervisor,Urban,8,0.08%
7760,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
7783,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
7784,Spain,Data Processing Auditor,Urban,67,0.69%
7847,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
7857,Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
7879,Spain,Data Warehouse Architect,Urban,77,0.80%
7912,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
7917,Spain,Data Processing Equipment Repairer,Urban,11,0.11%
7922,Spain,Data Security Analyst,Urban,77,0.80%
7927,Spain,Data Warehouse Specialist,Urban,81,0.84%
7929,Spain,Database Specialist,Urban,61,0.63%
7947,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
7968,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
7988,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
8016,Spain,Database Manager,Urban,78,0.81%
8018,Spain,Data Control Clerk Supervisor,Urban,8,0.08%
8053,Spain,Database Marketing Analyst,Urban,61,0.63%
8054,Spain,Data Warehouse Analyst,Urban,69,0.72%
8059,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
8067,Spain,Data Entry Associate,Rural,10,0.10%
8070,Spain,Data Scientist,Urban,67,0.69%
8083,Spain,Data Technician,Urban,9,0.09%
8099,Spain,Data Input Clerk,Urban,15,0.16%
8195,Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
8222,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
8241,Spain,Data Warehouse Specialist,Rural,81,0.84%
8254,Spain,Data Systems Manager,Urban,69,0.72%
8257,Spain,Databases Software Consultant,Urban,44,0.46%
8267,Spain,Database Coordinator,Urban,81,0.84%
8271,Spain,Databases Software Consultant,Urban,44,0.46%
8279,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
8282,Spain,Naval Tactical Data System--Combat Information Center Officer,Urban,17,0.18%
8289,Spain,Database Administration Manager,Urban,65,0.67%
8301,Spain,Data Warehousing Manager,Urban,61,0.63%
8321,Spain,Flight Test Data Acquisition Technician,Urban,13,0.13%
8350,Spain,Database Manager,Rural,78,0.81%
8365,Spain,Data Security Administrator,Urban,67,0.69%
8386,Spain,Data Reduction Technician,Urban,15,0.16%
8399,Spain,Data Security Administrator,Urban,67,0.69%
8438,Spain,Data Processing Equipment Repairer,Urban,11,0.11%
8442,Spain,Data Warehousing Engineer,Rural,59,0.61%
8448,Spain,Data Processing Equipment Repairer,Urban,11,0.11%
8472,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
8473,Spain,Database Specialist,Rural,61,0.63%
8477,Spain,Data Systems Manager,Urban,69,0.72%
8480,Spain,Database Administration Associate,Urban,73,0.76%
8486,Spain,Databases Computer Consultant,Urban,52,0.54%
8531,Spain,Clinical Data Manager,Urban,13,0.13%
8571,Spain,Database Design Analyst,Urban,58,0.60%
8600,Spain,Micro Computer Data Processor,Urban,15,0.16%
8605,Spain,Database Designer,Rural,64,0.66%
8608,Spain,Data Warehouse Analyst,Urban,69,0.72%
8620,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
8625,Spain,Data Processing Manager,Urban,73,0.76%
8628,Spain,Data Coordinator,Urban,88,0.91%
8665,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
8702,Spain,Reference Data Expert,Urban,9,0.09%
8774,Spain,Data Warehouse Architect,Urban,77,0.80%
8786,Spain,Database Modeler,Urban,64,0.66%
8794,Spain,Data Communications Software Consultant,Urban,73,0.76%
8798,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
8808,Spain,Database Security Administrator,Urban,71,0.74%
8813,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
8854,Spain,Data Systems Manager,Urban,69,0.72%
8855,Spain,Data Management Manager,Urban,7,0.07%
8874,Spain,Business Database Analyst,Urban,12,0.12%
8877,Spain,Data Processing Manager,Urban,73,0.76%
8898,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
8910,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
8912,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
8922,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
8945,Spain,Data Typist,Urban,14,0.15%
8955,Spain,Data Communications Analyst,Urban,69,0.72%
8959,Spain,Database Manager,Urban,78,0.81%
8963,Spain,Data Scientist,Urban,67,0.69%
9000,Spain,Databases Computer Consultant,Urban,52,0.54%
9006,Spain,Database Security Administrator,Rural,71,0.74%
9011,Spain,Database Specialist,Urban,61,0.63%
9027,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
9051,Spain,Databases Computer Consultant,Urban,52,0.54%
9069,Spain,Data Warehouse Analyst,Urban,69,0.72%
9075,Spain,Database Specialist,Urban,61,0.63%
9100,Spain,Data Warehouse Architect,Urban,77,0.80%
9103,Spain,Data Processing Manager,Urban,73,0.76%
9111,Spain,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
9125,Spain,Data Operations Director,Urban,38,0.39%
9135,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
9179,Spain,Voice and Data Technician,Urban,13,0.13%
9191,Spain,SQL Database Administrator,Urban,65,0.67%
9197,Spain,Database Software Technician,Urban,76,0.79%
9214,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
9223,Spain,Data Processing Equipment Repairer,Urban,11,0.11%
9255,Spain,Database Security Expert,Rural,62,0.64%
9259,Spain,Data Security Administrator,Urban,67,0.69%
9285,Spain,Data Storage Specialist,Urban,83,0.86%
9328,Spain,Data Processing Clerk,Urban,7,0.07%
9345,Spain,Data Systems Manager,Urban,69,0.72%
9347,Spain,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
9356,Spain,Data Processing Systems Analyst,Urban,76,0.79%
9380,Spain,SQL Database Administrator,Urban,65,0.67%
9385,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
9397,Spain,Data Warehouse Developer,Urban,62,0.64%
9402,Spain,Database Design Analyst,Urban,58,0.60%
9480,Spain,Database Development Project Manager,Urban,11,0.11%
9521,Spain,Data Compiler,Urban,16,0.17%
9524,Spain,Health Data Analyst,Urban,13,0.13%
9527,Spain,Data Warehouse Specialist,Urban,81,0.84%
9567,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
9574,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
9613,Spain,Data Reduction Technician,Urban,15,0.16%
9620,Spain,Data Warehousing Engineer,Urban,59,0.61%
